Reaction name	!	Stoichiometry	!	Enzyme discription	!	Compartment	!	Subsystem(Pathway)	!	Gene
12DGR120tipp	!	12DGR120_P  -> 12DGR120_C	!	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
12DGR140tipp	!	12DGR140_P  -> 12DGR140_C	!	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
12DGR141tipp	!	12DGR141_P  -> 12DGR141_C	!	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
12DGR160tipp	!	12DGR160_P  -> 12DGR160_C	!	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
12DGR161tipp	!	12DGR161_P  -> 12DGR161_C	!	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
12DGR180tipp	!	12DGR180_P  -> 12DGR180_C	!	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
12DGR181tipp	!	12DGR181_P  -> 12DGR181_C	!	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
12PPDRtex	!	12PPD_R_E  <-> 12PPD_R_P	!	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
12PPDRtpp	!	12PPD_R_P  <-> 12PPD_R_C	!	(R)-Propane-1,2-diol facilitated transport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
12PPDStex	!	12PPD_S_E  <-> 12PPD_S_P	!	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
12PPDStpp	!	12PPD_S_P  <-> 12PPD_S_C	!	(S)-Propane-1,2-diol facilitated transport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
14GLUCANabcpp	!	14GLUCAN_P  + ATP_C  + H2O_C  -> 14GLUCAN_C  + ADP_C  + H_C  + PI_C	!	1,4-alpha-D-glucan transport via ABC system (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	( b4034  &&  b4033  &&  b4032  &&  b4035 )
14GLUCANtexi	!	14GLUCAN_E  -> 14GLUCAN_P	!	1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible	!	Intercompartmental	!	Transport, Outer Membrane	!	b4036
23CAMPtex	!	23CAMP_E  <-> 23CAMP_P	!	23cAMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
23CCMPtex	!	23CCMP_E  <-> 23CCMP_P	!	23cCMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
23CGMPtex	!	23CGMP_E  <-> 23CGMP_P	!	23cGMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
23CUMPtex	!	23CUMP_E  <-> 23CUMP_P	!	23cUMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
23DAPPAt2pp	!	23DAPPA_P  + H_P  -> 23DAPPA_C  + H_C	!	2,3-diaminopropionate transport in via proton symport	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
23DAPPAtex	!	23DAPPA_E  <-> 23DAPPA_P	!	2,3-diaminopropionate transport via diffusion	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
23PDE2pp	!	23CUMP + H2O -> 3UMP + H	!	2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)	!	Periplasmic space	!	Nucleotide Salvage Pathway	!	b4213
23PDE4pp	!	23CCMP + H2O -> 3CMP + H	!	2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)	!	Periplasmic space	!	Nucleotide Salvage Pathway	!	b4213
23PDE7pp	!	23CAMP + H2O -> 3AMP + H	!	2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)	!	Periplasmic space	!	Nucleotide Salvage Pathway	!	b4213
23PDE9pp	!	23CGMP + H2O -> 3GMP + H	!	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)	!	Periplasmic space	!	Nucleotide Salvage Pathway	!	b4213
26DAHtex	!	26DAP_M_E  <-> 26DAP_M_P	!	meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
2AGPA120tipp	!	2DDECG3P_P  -> 2DDECG3P_C	!	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPA140tipp	!	2TDECG3P_P  -> 2TDECG3P_C	!	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPA141tipp	!	2TDEC7EG3P_P  -> 2TDEC7EG3P_C	!	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPA160tipp	!	2HDECG3P_P  -> 2HDECG3P_C	!	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPA161tipp	!	2HDEC9EG3P_P  -> 2HDEC9EG3P_C	!	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPA180tipp	!	2ODECG3P_P  -> 2ODECG3P_C	!	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPA181tipp	!	2ODEC11EG3P_P  -> 2ODEC11EG3P_C	!	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPE120tipp	!	2AGPE120_P  -> 2AGPE120_C	!	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPE140tipp	!	2AGPE140_P  -> 2AGPE140_C	!	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPE141tipp	!	2AGPE141_P  -> 2AGPE141_C	!	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPE160tipp	!	2AGPE160_P  -> 2AGPE160_C	!	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPE161tipp	!	2AGPE161_P  -> 2AGPE161_C	!	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
